location,date,hits
AK,2020-02-01,0
AK,2020-02-02,0
AK,2020-02-03,0
AK,2020-02-04,0
AK,2020-02-05,0
AK,2020-02-06,0
AK,2020-02-07,0
AK,2020-02-08,0
AK,2020-02-09,0
AK,2020-02-10,0
AK,2020-02-11,0
AK,2020-02-12,0
AK,2020-02-13,0
AK,2020-02-14,0
AK,2020-02-15,0
AK,2020-02-16,0
AK,2020-02-17,0
AK,2020-02-18,0
AK,2020-02-19,0
AK,2020-02-20,0
AK,2020-02-21,0
AK,2020-02-22,0
AK,2020-02-23,0
AK,2020-02-24,0
AK,2020-02-25,0
AK,2020-02-26,0
AK,2020-02-27,0
AK,2020-02-28,0
AK,2020-02-29,0
AK,2020-03-01,0
AK,2020-03-02,0
AK,2020-03-03,0
AK,2020-03-04,0
AK,2020-03-05,0
AK,2020-03-06,0
AK,2020-03-07,0
AK,2020-03-08,0
AK,2020-03-09,0
AK,2020-03-10,0
AK,2020-03-11,0
AK,2020-03-12,0
AK,2020-03-13,0
AK,2020-03-14,0
AK,2020-03-15,0
AK,2020-03-16,0
AK,2020-03-17,92.46666666666665
AK,2020-03-18,90.03333333333333
AK,2020-03-19,0
AK,2020-03-20,177.63333333333333
AK,2020-03-21,97.33333333333333
AK,2020-03-22,0
AK,2020-03-23,0
AK,2020-03-24,85.16666666666666
AK,2020-03-25,0
AK,2020-03-26,0
AK,2020-03-27,172.76666666666665
AK,2020-03-28,0
AK,2020-03-29,90.03333333333333
AK,2020-03-30,0
AK,2020-03-31,82.73333333333332
AK,2020-04-01,0
AK,2020-04-02,77.86666666666666
AK,2020-04-03,0
AK,2020-04-04,0
AK,2020-04-05,0
AK,2020-04-06,160.6
AK,2020-04-07,80.3
AK,2020-04-08,0
AK,2020-04-09,0
AK,2020-04-10,0
AK,2020-04-11,92.46666666666665
AK,2020-04-12,90.03333333333333
AK,2020-04-13,0
AK,2020-04-14,0
AK,2020-04-15,153.29999999999998
AK,2020-04-16,0
AK,2020-04-17,80.3
AK,2020-04-18,0
AK,2020-04-19,0
AK,2020-04-20,75.43333333333332
AK,2020-04-21,0
AK,2020-04-22,0
AK,2020-04-23,0
AK,2020-04-24,80.3
AK,2020-04-25,0
AK,2020-04-26,0
AK,2020-04-27,82.73333333333332
AK,2020-04-28,0
AK,2020-04-29,0
AK,2020-04-30,77.86666666666666
AK,2020-05-01,0
AK,2020-05-02,0
AK,2020-05-03,0
AL,2020-02-01,0
AL,2020-02-02,0
AL,2020-02-03,0
AL,2020-02-04,0
AL,2020-02-05,0
AL,2020-02-06,0
AL,2020-02-07,13.333333333333334
AL,2020-02-08,0
AL,2020-02-09,16.666666666666668
AL,2020-02-10,0
AL,2020-02-11,0
AL,2020-02-12,26.666666666666668
AL,2020-02-13,0
AL,2020-02-14,0
AL,2020-02-15,0
AL,2020-02-16,0
AL,2020-02-17,0
AL,2020-02-18,0
AL,2020-02-19,0
AL,2020-02-20,0
AL,2020-02-21,0
AL,2020-02-22,0
AL,2020-02-23,0
AL,2020-02-24,16.666666666666668
AL,2020-02-25,0
AL,2020-02-26,0
AL,2020-02-27,0
AL,2020-02-28,0
AL,2020-02-29,0
AL,2020-03-01,20
AL,2020-03-02,0
AL,2020-03-03,0
AL,2020-03-04,16.666666666666668
AL,2020-03-05,0
AL,2020-03-06,0
AL,2020-03-07,0
AL,2020-03-08,0
AL,2020-03-09,0
AL,2020-03-10,16.666666666666668
AL,2020-03-11,16.666666666666668
AL,2020-03-12,0
AL,2020-03-13,0
AL,2020-03-14,0
AL,2020-03-15,0
AL,2020-03-16,16.666666666666668
AL,2020-03-17,0
AL,2020-03-18,96.66666666666667
AL,2020-03-19,66.66666666666667
AL,2020-03-20,110
AL,2020-03-21,90
AL,2020-03-22,56.66666666666667
AL,2020-03-23,180
AL,2020-03-24,33.333333333333336
AL,2020-03-25,163.33333333333334
AL,2020-03-26,196.66666666666669
AL,2020-03-27,170
AL,2020-03-28,110
AL,2020-03-29,173.33333333333334
AL,2020-03-30,176.66666666666669
AL,2020-03-31,93.33333333333334
AL,2020-04-01,126.66666666666667
AL,2020-04-02,333.33333333333337
AL,2020-04-03,126.66666666666667
AL,2020-04-04,126.66666666666667
AL,2020-04-05,160
AL,2020-04-06,210
AL,2020-04-07,60
AL,2020-04-08,46.66666666666667
AL,2020-04-09,200
AL,2020-04-10,190
AL,2020-04-11,73.33333333333334
AL,2020-04-12,83.33333333333334
AL,2020-04-13,90
AL,2020-04-14,73.33333333333334
AL,2020-04-15,86.66666666666667
AL,2020-04-16,60
AL,2020-04-17,90
AL,2020-04-18,50
AL,2020-04-19,113.33333333333334
AL,2020-04-20,56.66666666666667
AL,2020-04-21,76.66666666666667
AL,2020-04-22,46.66666666666667
AL,2020-04-23,113.33333333333334
AL,2020-04-24,90
AL,2020-04-25,0
AL,2020-04-26,50
AL,2020-04-27,90
AL,2020-04-28,90
AL,2020-04-29,43.333333333333336
AL,2020-04-30,43.333333333333336
AL,2020-05-01,16.666666666666668
AL,2020-05-02,53.333333333333336
AL,2020-05-03,36.66666666666667
AR,2020-02-01,0
AR,2020-02-02,0
AR,2020-02-03,0
AR,2020-02-04,0
AR,2020-02-05,0
AR,2020-02-06,0
AR,2020-02-07,0
AR,2020-02-08,0
AR,2020-02-09,0
AR,2020-02-10,0
AR,2020-02-11,0
AR,2020-02-12,0
AR,2020-02-13,0
AR,2020-02-14,0
AR,2020-02-15,0
AR,2020-02-16,0
AR,2020-02-17,0
AR,2020-02-18,0
AR,2020-02-19,0
AR,2020-02-20,0
AR,2020-02-21,0
AR,2020-02-22,0
AR,2020-02-23,0
AR,2020-02-24,0
AR,2020-02-25,0
AR,2020-02-26,0
AR,2020-02-27,0
AR,2020-02-28,0
AR,2020-02-29,0
AR,2020-03-01,0
AR,2020-03-02,0
AR,2020-03-03,0
AR,2020-03-04,0
AR,2020-03-05,0
AR,2020-03-06,0
AR,2020-03-07,0
AR,2020-03-08,0
AR,2020-03-09,0
AR,2020-03-10,0
AR,2020-03-11,0
AR,2020-03-12,0
AR,2020-03-13,0
AR,2020-03-14,0
AR,2020-03-15,18.666666666666668
AR,2020-03-16,0
AR,2020-03-17,46.666666666666664
AR,2020-03-18,31.733333333333334
